2014년_ [교양과목 성적평가 분포_(대학)_],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준년도,학교명,학기,교양과목 성적인정 총학생수,만점평점,등급(평점)별 학생수 및 비율,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A+,,A0,,A-,,B+,,B0,,B-,,C+,,C0,,C-,,D+,,D0,,D-,,F,
,,,,,학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%),학생수,비율(%)
2013,가야대학교 _본교,1학기,"6,551",4.5,972,14.8,930,14.2,0,0,"1,515",23.1,786,12,0,0,"1,152",17.6,469,7.2,0,0,177,2.7,149,2.3,0,0,401,6.1
2013,가야대학교 _본교,2학기,"6,575",4.5,942,14.3,998,15.2,0,0,"1,359",20.7,946,14.4,0,0,943,14.3,490,7.5,0,0,151,2.3,181,2.8,0,0,565,8.6
2013,가야대학교 _제2캠퍼스,2학기,11,0,3,27.3,1,9.1,0,0,1,9.1,3,27.3,0,0,0,0,3,27.3,0,0,0,0,0,0,0,0,0,0
2013,가천대학교 _본교,1학기,"51,236",4.5,"7,320",14.3,"5,502",10.7,0,0,"13,010",25.4,"5,442",10.6,0,0,"9,728",19,"3,512",6.9,0,0,"2,104",4.1,"1,192",2.3,0,0,"3,426",6.7
2013,가천대학교 _본교,2학기,"45,281",4.5,"7,020",15.5,"4,710",10.4,0,0,"11,784",26,"4,489",9.9,0,0,"9,004",19.9,"2,913",6.4,0,0,"1,996",4.4,"1,086",2.4,0,0,"2,279",5
2013,가톨릭관동대학교 _본교,1학기,"26,137",4.5,"3,591",13.7,"2,713",10.4,0,0,"5,125",19.6,"3,387",13,0,0,"3,851",14.7,"2,472",9.5,0,0,"1,035",4,"1,183",4.5,0,0,"2,780",10.6
2013,가톨릭관동대학교 _본교,2학기,"24,706",4.5,"3,776",15.3,"2,610",10.6,0,0,"5,448",22.1,"3,055",12.4,0,0,"3,590",14.5,"2,174",8.8,0,0,730,3,"1,051",4.3,0,0,"2,272",9.2
2013,가톨릭대학교 _본교,1학기,"20,971",4.5,"4,081",19.5,"1,873",8.9,0,0,"6,424",30.6,"1,724",8.2,0,0,"4,041",19.3,"1,090",5.2,0,0,379,1.8,285,1.4,0,0,"1,074",5.1
2013,가톨릭대학교 _본교,2학기,"18,142",4.5,"3,682",20.3,"1,493",8.2,0,0,"5,945",32.8,"1,233",6.8,0,0,"3,738",20.6,864,4.8,0,0,272,1.5,190,1,0,0,725,4
2013,가톨릭대학교 _제2캠퍼스,1학기,822,4.5,186,22.6,183,22.3,0,0,160,19.5,97,11.8,0,0,92,11.2,104,12.7,0,0,0,0,0,0,0,0,0,0
