상영내역,,,,,,,,,,
상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회
2015-03-01,01관,"09:40, 그레이의 50가지 그림자(디지털), 9,000원","12:15, 그레이의 50가지 그림자(디지털), 10,000원","14:50, 그레이의 50가지 그림자(디지털), 10,000원","17:25, 그레이의 50가지 그림자(디지털), 10,000원","20:00, 그레이의 50가지 그림자(디지털), 10,000원","22:40, 그레이의 50가지 그림자(디지털), 10,000원","25:15, 그레이의 50가지 그림자(디지털), 9,000원",,
2015-03-01,02관,"08:40, 조선명탐정 : 사라진 놉의 딸(디지털), 6,000원","11:15, 조선명탐정 : 사라진 놉의 딸(디지털), 10,000원","13:50, 센과 치히로의 행방불명(디지털), 10,000원","16:25, 조선명탐정 : 사라진 놉의 딸(디지털), 10,000원","19:05, 조선명탐정 : 사라진 놉의 딸(디지털), 10,000원","21:40, 기생수 파트1(디지털), 10,000원","24:05, 나이트 크롤러(디지털), 9,000원",,
2015-03-01,03관,"09:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","11:50, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","14:30, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","17:10, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","19:50, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","22:25, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","25:05, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-01,04관,"08:50, 포커스(디지털), 6,000원","11:05, 나이트 크롤러(디지털), 10,000원","13:40, 빅 히어로(디지털), 10,000원","16:00, 그레이의 50가지 그림자(디지털), 10,000원","18:40, 그레이의 50가지 그림자(디지털), 10,000원","21:30, 나이트 크롤러(디지털), 10,000원","24:15, 포커스(디지털), 9,000원",,
2015-03-01,05관 [CGV아트하우스],"08:20, 개를 훔치는 완벽한 방법(디지털), 6,000원","10:40, 사랑에 대한 모든 것(디지털), 10,000원","13:20, 제네시스: 세상의 소금(디지털), 10,000원","15:40, 위플래쉬(디지털), 10,000원","17:55, 조류인간(디지털), 10,000원","20:15, 이다(디지털), 10,000원","22:05, 개를 훔치는 완벽한 방법(디지털), 10,000원","24:25, 개를 훔치는 완벽한 방법(디지털), 9,000원",
2015-03-01,06관,"08:00, 이미테이션 게임(디지털), 6,000원","10:25, 이미테이션 게임(디지털), 10,000원","12:50, 이미테이션 게임(디지털), 10,000원","15:15, 이미테이션 게임(디지털), 10,000원","17:40, 이미테이션 게임(디지털), 10,000원","20:05, 이미테이션 게임(디지털), 10,000원","22:30, 이미테이션 게임(디지털), 10,000원","24:55, 이미테이션 게임(디지털), 9,000원",
2015-03-01,07관,"08:30, 백 투 더 비기닝(디지털), 6,000원","10:50, 빅 히어로(디지털), 10,000원","13:10, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","15:50, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","18:30, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","21:10, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","23:45, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-01,08관,"09:00, 센과 치히로의 행방불명(디지털), 6,000원","11:40, 기생수 파트1(디지털), 10,000원","14:05, 이미테이션 게임(디지털), 10,000원","16:30, 이미테이션 게임(디지털), 10,000원","18:55, 이미테이션 게임(디지털), 10,000원","21:20, 이미테이션 게임(디지털), 10,000원","23:55, 백 투 더 비기닝(디지털), 9,000원",,
2015-03-02,01관,"09:20, 이미테이션 게임(디지털), 6,000원","11:45, 이미테이션 게임(디지털), 8,000원","14:10, 이미테이션 게임(디지털), 8,000원","16:35, 이미테이션 게임(디지털), 9,000원","19:10, 이미테이션 게임(디지털), 9,000원","21:35, 이미테이션 게임(디지털), 9,000원","24:00, 이미테이션 게임(디지털), 8,000원",,
2015-03-02,02관,"09:40, 조선명탐정 : 사라진 놉의 딸(디지털), 6,000원","12:15, 포커스(디지털), 7,000원","14:30, 조선명탐정 : 사라진 놉의 딸(디지털), 8,500원","17:10, 기생수 파트1(디지털), 9,000원","19:30, 조선명탐정 : 사라진 놉의 딸(디지털), 9,000원","22:05, 기생수 파트1(디지털), 9,000원","24:25, 기생수 파트1(디지털), 8,000원",,
2015-03-02,03관,"09:00, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:40, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","14:20, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","17:00, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:40, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","22:20, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","25:00, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-02,04관,"08:40, 나이트 크롤러(디지털), 6,000원","11:10, 백 투 더 비기닝(디지털), 8,000원","13:30, 센과 치히로의 행방불명(디지털), 8,000원","16:05, 나이트 크롤러(디지털), 9,000원","18:35, 센과 치히로의 행방불명(디지털), 9,000원","21:10, 나이트 크롤러(디지털), 9,000원",,,
2015-03-02,05관 [CGV아트하우스],"09:10, 개를 훔치는 완벽한 방법(디지털), 6,000원","11:30, 조류인간(디지털), 8,000원","13:50, 개를 훔치는 완벽한 방법(디지털), 8,000원","16:15, 이다(디지털), 9,000원","18:05, 제네시스: 세상의 소금(디지털), 9,000원","20:25, 그랜드 부다페스트 호텔(디지털), 9,000원","22:35, 이미테이션 게임(디지털), 9,000원",,
2015-03-02,06관,"08:50, 그레이의 50가지 그림자(디지털), 9,000원","11:25, 그레이의 50가지 그림자(디지털), 8,000원","14:00, 그레이의 50가지 그림자(디지털), 8,000원","16:45, 그레이의 50가지 그림자(디지털), 9,000원","19:20, 그레이의 50가지 그림자(디지털), 9,000원","21:55, 그레이의 50가지 그림자(디지털), 9,000원","24:35, 그레이의 50가지 그림자(디지털), 8,000원",,
2015-03-02,07관,,"10:35, 기생수 파트1(디지털), 7,000원","13:00, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","15:40, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","18:20, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:00, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","23:35, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-02,08관,,"10:45, 센과 치히로의 행방불명(디지털), 8,000원","13:20, 빅 히어로(디지털), 8,000원","15:35, 빅 히어로(디지털), 8,000원","17:50, 이미테이션 게임(디지털), 9,000원","20:15, 이미테이션 게임(디지털), 9,000원","22:45, 조선명탐정 : 사라진 놉의 딸(디지털), 9,000원","25:20, 이미테이션 게임(디지털), 8,000원",
2015-03-03,01관,"09:20, 이미테이션 게임(디지털), 6,000원","11:45, 이미테이션 게임(디지털), 8,000원","14:10, 이미테이션 게임(디지털), 9,000원","16:35, 이미테이션 게임(디지털), 9,000원","19:10, 이미테이션 게임(디지털), 9,000원","21:35, 이미테이션 게임(디지털), 9,000원","24:05, 이미테이션 게임(디지털), 9,000원",,
2015-03-03,02관,"09:40, 조선명탐정 : 사라진 놉의 딸(디지털), 6,000원","12:15, 포커스(디지털), 8,000원","14:30, 조선명탐정 : 사라진 놉의 딸(디지털), 8,000원","17:10, 기생수 파트1(디지털), 9,000원","19:30, 조선명탐정 : 사라진 놉의 딸(디지털), 9,000원","22:05, 기생수 파트1(디지털), 9,000원","24:25, 기생수 파트1(디지털), 8,000원",,
2015-03-03,03관,"09:00, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:40, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","14:20, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","17:00, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:40, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","22:20, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","25:00, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-03,04관,"09:00, 나이트 크롤러(디지털), 6,000원","11:30, 백 투 더 비기닝(디지털), 8,000원","13:50, 센과 치히로의 행방불명(디지털), 8,000원","16:25, 나이트 크롤러(디지털), 9,000원","18:50, 센과 치히로의 행방불명(디지털), 9,000원","21:25, 나이트 크롤러(디지털), 9,000원","23:55, 백 투 더 비기닝(디지털), 4,000원",,
2015-03-03,05관 [CGV아트하우스],,"11:00, 조류인간(디지털), 8,000원","13:30, 개를 훔치는 완벽한 방법(디지털), 8,000원","15:50, 이다(디지털), 8,000원","17:40, 제네시스: 세상의 소금(디지털), 8,000원","20:00, 폭스캐처(디지털), 7,000원","22:50, 이미테이션 게임(디지털), 9,000원","25:15, 이미테이션 게임(디지털), 8,000원",
2015-03-03,06관,"08:50, 그레이의 50가지 그림자(디지털), 6,000원","11:25, 그레이의 50가지 그림자(디지털), 8,000원","14:00, 그레이의 50가지 그림자(디지털), 8,000원","16:45, 그레이의 50가지 그림자(디지털), 9,000원","19:20, 그레이의 50가지 그림자(디지털), 9,000원","21:55, 그레이의 50가지 그림자(디지털), 9,000원","24:35, 그레이의 50가지 그림자(디지털), 8,000원",,
2015-03-03,07관,,"10:35, 기생수 파트1(디지털), 8,000원","13:00, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","15:40, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","18:20, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:00, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","23:35, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-03,08관,,"10:45, 센과 치히로의 행방불명(디지털), 8,000원","13:20, 빅 히어로(디지털), 8,000원","15:35, 빅 히어로(디지털), 8,000원","17:50, 이미테이션 게임(디지털), 9,000원","20:15, 이미테이션 게임(디지털), 9,000원","22:40, 조선명탐정 : 사라진 놉의 딸(디지털), 9,000원","25:20, 포커스(디지털), 8,000원",
2015-03-04,01관,"09:20, 이미테이션 게임(디지털), 6,000원","11:45, 이미테이션 게임(디지털), 8,000원","14:10, 이미테이션 게임(디지털), 9,000원","16:35, 이미테이션 게임(디지털), 9,000원","19:10, 이미테이션 게임(디지털), 9,000원","21:35, 이미테이션 게임(디지털), 9,000원","24:10, 이미테이션 게임(디지털), 8,000원",,
