No.,논문명,저자명,발행기관명,간행물명,권,호,발행년도,ISSN,국문초록,영문초록,키워드,페이지,URL
1,대학생의 북한이탈주민 지원정책 인식에 영향을 미치는 변인에 대한 연구: 북한이탈주민 수용태도의 매개효과,김경화 ( Kyonghwa Kim ),한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"본 연구는 대학생을 대상으로 하여 북한이탈주민 지원정책에 대한 인식과 관련된 변인을 분석하고, 북한이탈주민 수용태도가 북한이탈주민 접촉 및 사회인식과 정책인식 사이에서 매개역할을 하는지 파악하는데 그 목적을 둔다. 본 연구의 대상은 남학생 185명, 여학생 190명으로 총 375명의 학생이다. 수집된 자료는 SPSS win 19.0 프로그램의 기술통계, 요인분석, 상관관계분석, 중회귀분석 및 경로분석을 이용해 검증하였다. 연구결과 북한이탈주민과의 접촉은 북한이탈주민 수용태도를 매개로 하여 기회평등.사회보장정책인식에 간접적인 영향을 미치는 것으로 분석되었다. 평등주의 인식, 통일인식, 다문화주의 인식은 기회평등.사회보장정책 인식에 직접 영향을 미칠 뿐 아니라, 북한이탈주민 수용태도를 매개로 하여 간접적인 영향 또한 미치는 것으로 제시되었다. 북한이탈주민과의 접촉은 우대정책 인식에는 유의한 직.간접적인 영향이 없는 것으로 나타났다. 평등주의 인식, 통일인식, 다문화주의 인식은 우대정책 인식에 직접적인 효과가 있을 뿐 아니라, 북한이탈주민 수용태도를 매개로 한 간접 효과 또한 확인되었다. 본 연구결과를 바탕으로 논의와 후속연구를 위한 제언을 하였다.","The Purpose of this study was to investigate the related variables of university students`` perception of policies supporting North Korean defectors and to examine the mediating effect of attitudes toward North Korean defectors. The subject were 375 high school students. The data were analyzed with SPSS 19.0 using descriptive statistics, factor analysis, multiple analysis and path analysis. The finding shows that contacts with North Korean defectors exert an indirect effect on the perception of equal opportunities policy & social security policies. Perceptions of egalitarianism, unification, multiculturalism exert direct and indirect effects on the perception of equal opportunities policy & social security policy. The contact with North Korean defectors did not exert direct and indirect effects on the perception of positive discrimination policies. Perceptions of egalitarianism, unification, multiculturalism exert direct and indirect effects on the perception of positive discrimination policies. Based on these findings, implications were discussed in terms of perceptions of policies supporting North Korean defectors.","북한이탈주민 지원정책 인식, 대학생의 인식, 기회평등,사회보장정책, 우대정책, 북한이탈주민 수용태도, perception of policies supporting North Korean defectors, university students` perception, equal opportunities policy & social security policy, positive discrimination policies, attitudes toward Nor",1 ~ 27,http://kiss.kstudy.com/search/detail_page.asp?key=3378885
2,퇴직연금 활성화 정책의 사회보장적 효과에 관한 연구: 수급자수 전망을 중심으로,"김수완 ( Soowan Kim ) , 박성민 ( Sungmin Park )",한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"이 연구는 최근 퇴직연금을 의무화하고 소규모사업장과 고용불안정층까지 확대하려는 최근의 활성화 정책이 퇴직연금의 노후보장성을 얼마나 강화할 것인가를 퇴직연금의 수급률을 중심으로 분석하였다. 국민연금장기추계모형을 활용하여 분석한 결과, 임금근로자에 대한 퇴직연금 의무화 조치만으로는 장기적으로도 퇴직연금 수급자가 충분히 확대되지 않는 것으로 나타났다. 이는 비임금근로자 비율이 높고, 임금근로자로의 지위가 오래 지속되지 않는 한국의 노동시장 구조 때문이라고 할 수 있다. 따라서 퇴직연금 가입자가 자영자로 전환되어도 계속 가입하고, 퇴직연금 전환시 과거 퇴직금에 대한 소급적용이 충분히 이루어지는 경우에만 비로소 퇴직연금 수급자수가 의미있게 확대될 수 있는 것으로 나타났다. 결론적으로 이 연구는 퇴직연금제도가 많은 사람들에게 실질적인 혜택을 줄 수 있을 때까지는 장기간의 시간이 걸릴 뿐만 아니라, 국가가 더욱 적극적 역할을 담당해야 함을 보여주고 있다. 이 연구는 자영자에 대한 퇴직연금 가입을 유도하는 국가의 적극적인 정책을 모색하는 한편, 제한된 퇴직연금 수급자 전망을 토대로 공적연금 발전전략을 모색할 필요가 있음을 시사한다.","This study analyzed the social security effect of the policies under discussion to activate the occupational pension in South Korea, focusing on long-term projection of the take-up rate. The results revealed that the strong policy to make the introduction of occupational pension mandatory to wageworkers would not be enough to increase the pension recipients significantly even in the long term due to the high rate of non-wageworkers and frequent transition from wageworkers to non-wageworkers. The study showed that the take-up rate would increase enough if people continue to insure the Individual Retirement Account even after the labor market transition, and if existing retirement allowance record can be retroactively transferred to occupational pension in addition to the mandatory measure. It suggests that it takes long time to increase the recipients of the occupational pension and needs the more active role of the government.","퇴직연금, 수급자수, 정책효과분석, 국민연금장기추계모형, occupational pension, private pension, take-up rate, policy effect, long-term projection modeling",29 ~ 51,http://kiss.kstudy.com/search/detail_page.asp?key=3378886
3,북한의 보건의료시스템과 그 이용실태에 대한 질적 연구: 2010년대 북한이탈주민의 경험을 중심으로,"민하주 ( Haju Min ) , 정형선 ( Hyoungsun Jeong ) , 김선미 ( Sunmi Kim )",한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"본 연구는 북한에서 보건의료기관을 이용한 주민들의 경험을 통해 북한의 보건의료시스템과 그 이용실태를 파악하고자 하였다. 2010년 이후 북한에서 보건의료기관 이용경험이 있는 북한이탈주민 11명을 대상으로 한 초점집단면접(FGI)을 통해, 북한의 기본 인프라, 보건위생환경, 보건의료체계, 의료서비스와 의약품공급 등 전반적인 보건의료 이용실태를 알아보았다. 북한 의료실태의 근본적인 문제들은 오히려 의료 외적인 요인 즉, 전력, 상.하수도망, 식량공급 등의 기본적 사회 인프라의 미비에 더 많이 기인한다. 사회주의의 우월성으로 내세웠던 “무상치료제”는 유명무실해졌고, 각종 의약품 및 의료서비스가 거래되는 장마당이 주된 의료공급시장이 되어 있다. 주민들은 병이 생기면 병원보다 장마당을 먼저 찾고 있고, 이로 인한 부작용(가짜 약, 약물 오남용, 마약중독 등)을 겪기도 한다. 이러한 상황을 방치하게 된다면 그 결과는 고스란히 남한의 통일비용으로 돌아오게 될 것이다. 본 연구에서는 북한의 의료 현황에 대한 정확한 이해를 통해 통일시대를 대비한 극복 방안을 강구해본다.","To fill the gap of health status between two Korean peoples and thereby to reduce chaos in the process of unification, efforts to augment health level of North Koreans should be preceded. Just like diagnosis should come first before treatment, understanding recent North Korea’s healthcare reality is required to come first. This study tried to figure it out from experiences of North Korean refugees. Through Focus Group Interview (FGI) that was conducted with eleven refugees who had experienced North Korea’s healthcare since 2010, the authors wanted to grasp overall situation of healthcare use including basic infrastructure, health and sanitation environment, healthcare system, healthcare service provision and drug supplies in North Korea. Fundamental health problems in North Korea are due to factors rather beyond healthcare system such as inadequacy of basic social infrastructure including electricity, water and sewage management and food supply. “Free healthcare” magnified as the superiority of socialist nation has become little more than a name, and “Jangmadang” is now a major market for trading drugs and medical services. Residents of North Korea come to Jangmadang before coming to doctors and hospitals, thereby experiencing sometimes side effects (e.g. fake medicine, medicine abuse or misuse, drug addiction etc.). If South Korea leaves current situation of North Korea’s healthcare unsettled, it will boomerang back as a higher reunification cost.","통일, 북한이탈주민, 북한 보건의료이용경험, 초점집단면접, Unification, North Korean refugee, Healthcare use in North Korea. Focus Group Interview, FGI",53 ~ 81,http://kiss.kstudy.com/search/detail_page.asp?key=3378887
4,소득빈곤선과 결핍지수의 정합도: 빈곤 여부와 국민기초생활보장 수급지위를 기준으로,"박정민 ( Jungmin Park ) , 이승호 ( Seungho Lee ) , 김윤지 ( Yunji Kim ) , 탁장한 ( Janghan Tak )",한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"본 연구의 목표는 빈곤 여부와 국민기초생활보장제도 수급지위에 따른 집단별로 생계, 건강, 주거 관련 결핍정도를 파악하고, 나아가 국민기초생활보장제도의 생계, 의료, 주거급여 각각의 중위소득 기준선이 각 영역별로 결핍지수가 높은 집단을 구분하는지 살펴보는 것이다. 분석에는 한국복지패널 3-9차 자료를 사용하였고, 결핍수준은 퍼지집합이론을 적용하여 측정하였다. 생계차원의 결핍수준은 낮은 반면에, 상대빈곤층과 절대빈곤층 공히 만성질환 및 장애의 만연으로 인한 건강차원 결핍 그리고 최저주거기준 미달 및 주거비 과부담으로 측정한 주거차원 결핍정도가 높았다. 국민기초생활보장제도 수급집단은 비수급집단에 비하여 생계, 건강, 주거차원의 결핍수준이 높았다. 국민기초생활보장제도 맞춤형 급여제도의 소득기준선과 결핍수준의 정합성과 관련하여, 생계급여 기준선(중위소득 28-30%)은 변별력이 낮았고, 의료급여는 기준선인 중위소득 40% 이상의 소득을 가진일부의 결핍수준이 그 이하 집단보다 낮지 않은 것으로 나타났고, 주거급여는 소득기준선 이하 집단의 관련 결핍수준이 그 이상 집단에 비해 높아 형평성과 관련한 논란의 소지가 가장 적었다.","This study 1) determines the degree of deprivation of basic needs in terms of material hardship, health, and housing conditions by poverty status and the receipt of National Basic Livelihood Security benefits, and 2) examines as to whether the degree of deprivation is differentiated by income criterion for livelihood, medical, and housing assistance of the National Basic Livelihood Security (NBLS). The data for this study was drawn from seven waves of the Korea Welfare Panel Study collected from 2008 to 2014. The level of deprivation was calculated based on fuzzy set theory. Results show that the degree of deprivation in the areas of health and housing was high among those in poverty defined in either absolute or relative terms, while it was pretty low in the area of material hardship measured by having a difficulty in obtaining food and paying utilities. The poor who received NBLS benefits had a higher level of deprivation in material hardship, health, and housing conditions compared to those who did not. The degree of deprivation in the area of material hardship did not differ by income threshold for livelihood assistance, 28-30% of median income. Some of those above income threshold for medical assistance, 40% of median income, had a similar/higher degree of deprivation in the area of health. The degree of deprivation in the area of housing was higher for those below income threshold for housing assistance, 43% of median income, than those above it.","소득빈곤, 결핍, 박탈, 국민기초생활보장, 퍼지집합이론, income poverty, deprivation, material hardship, housing, health, National Basic Livelihood Security, fuzzy set theory",83 ~ 107,http://kiss.kstudy.com/search/detail_page.asp?key=3378888
5,산재보험법상 출퇴근재해의 도입방식에 대한 입법론적 소고,"박지순 ( Jisoon Park ) , 권혁 ( Hyuk Kwon ) , 문성현 ( Sunghyun Moon ) , 성주호 ( Jooho Sung ) , 이정우 ( Jungwoo Lee ) , 정연택 ( Yuntag Chung )",한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"본 연구는 산재보험법상 출퇴근재해 도입에 대한 논의와 필요성을 정리하고 산재보험법에 의하여 통근재해를 보상하고자 할 경우 구체적인 방안을 입법론적 시각에서 정리하였다. 우리나라 산재보험법의 특성과 출퇴근재해의 성격에 기초해 보았을 때, 입법론적으로 출퇴근 재해를 업무상 재해와 구분되는 재해로 보상하는 이원론이 타당하다고 판단된다. 이원론의 입장에서 출퇴근재해 인정을 위해서는 재해가 발생된 일련의 과정이 출퇴근의 개념에 합치하여야 하며(출퇴근 수행성), 아울러 출퇴근이 재해의 원인이 되어야 한다(출퇴근 기인성). 한편 급여와 급여지급제한과 관련하여서는 산재보상급여보다 낮은 보상수준을 설정하는 것은 바람직하지 않으며, 도덕적 해이를 낮추는 동시에 급여수급 시본인의 부담이 과도하지 않은 적정한 수준에서 본인부담금제도의 도입을 고려할 수 있다. 급여지급제한과 관련하여 고의의 경우에는 보상에서 당연히 배제되지만 중과실의 경우 급여지급제한이 있을 수 있으며 급여의 적정성과 재정부담의 적정성을 동시에 고려하는 방향으로 제도가 마련될 필요가 있다. 보험료 부담 주체와 재정 부담과 관련하여 보험료는 사업주부담을 원칙으로 하고 근로자에게 제한된 범위 내에서 본인부담금을 징수하는 방법이 고려될 수 있다. 또한 출퇴근재해가 산재보험으로 편입되면 산재보험과 자동차보험의 보험금 청구권이 동시에 발생하는 자동차 사고가 대폭 증가하게 되는데, 근로복지공단의 구상권 행사가 필요한 사고에 대해서 관리비용을 감소시킬 수 있는 방안이 제시되었다.","This study aims to search for legislative measures to introduce commuting accidents in the Industrial Accident Compensation Insurance Act. Judging from the characteristics of both Korean industrial accident compensation insurance and commuting accidents, it would be appropriate to introduce a compensation system which separates commuting accidents from industrial accidents. To approve a commuting accident as eligible, the process and the way, on which a accident happens, must correspond to the definition of the commutation and must be a cause of the accident. Lower level of the compensation compared to industrial accidents is not desirable, but low level of co-payment for medical service from the insured could be considered. The benefit entitlement should be suspended in intentional accidents and the cash benefit in accidents from gross negligence can be limited, considered by both benefit appropriateness and financial burden. The contribution must be paid by the employer, but the employee can bear a fraction of medical cost symbolically. It is important to find a simple and reasonable way to realize the liabilities of car insurance companies because car accidents are the most often and expensive cause of commuting accidents.","출퇴근재해, 이원론, 구상권, 산재보험법, 자동차보험, Commuting Accident, Workers` Compensation, Car Insurance",109 ~ 138,http://kiss.kstudy.com/search/detail_page.asp?key=3378889
6,자활사업의 방향성: 사회적경제 조직으로의 전환에 대한 핵심 실무자들의 인식 유형,"설지원 ( Jiwon Seol ) , 신원식 ( Wonshik Shin )",한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"이 연구의 목적은 자활근로사업 또는 자활기업의 사회적경제 조직으로의 전환에 대한 자활사업 핵심 실무자들의 주관적 인식유형을 파악함으로써 사회적경제와 관련한 자활사업의 방향성을 제시하는 것이다. 자활사업의 방향성과 관련하여 엄선된 37개의 진술문을 가지고, 9명의 자활사업 핵심 실무자들을 대상으로 Q 분류를 하게 하였다. 자활사업 핵심 실무자들의 자활사업 방향성에 대한 주관적 인식유형은 ‘사회적경제 가치 지향형’, ‘실용적 목적 지향형’, ‘참여자 중심의 독자조직 지향형’ 등 세 가지로 나타났다. 이 연구의 결과가 주는 함의는 사회적경제로 전환한 자활사업은 참여자가 중심이어야 한다는 것과, 참여자들에 대한 지속적인 사회적경제 교육을 통해 자활사업의 지역화를 도모해야 한다는 것이다. 즉 현재 참여자들의 취.창업을 통한 탈빈곤이라는 자활사업의 단기적인 성과목표 추진보다는, 참여자 교육과 사회적경제 조직의 합리적인 운영을 바탕으로 한장기적인 추진전략이 필요하다는 것이다.","This study intends to grasp the perception types of key social workers on the self-sufficiency program turned into social economy organizations and to suggest the orientation of self-sufficiency programs related to social economy. With 37 statements related to the orientation of self-sufficiency programs, Q sorting was conducting to 9 key social workers. According to Q methodology, there were three types of key social workers`` subjective perception: ‘the type of social economical value orientation,’ ‘the type of practical purpose orientation,’ ‘the type of independent organization orientation based on participants.’ The study results implicate that a self-sufficiency program transformed into social economy should mainly be led by participants and that it is necessary to continue to provide social economical education to participants to localize self-sufficiency programs. In other words, it is necessary to perform participant education and come up with a long-term strategy based on reasonable operation of social economy organizations, rather than to achieve such short-term goals of self-sufficiency programs as out-of-poverty through participants’ employment and business start-up.","자활사업, 사회적경제, 협동조합, 핵심 실무자, 주관적 인식, self-sufficiency program, social economy, cooperative association, key social worker, subjective perception",139 ~ 159,http://kiss.kstudy.com/search/detail_page.asp?key=3378890
7,국민연금 재정 안정화 개혁의 소득계층별 노후소득보장 효과 분석,"우해봉 ( Haebong Woo ) , 한정림 ( Jeonglim Han )",한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"본 연구는 1998년과 2007년 두 차례에 걸쳐 이루어진 국민연금 개혁의 노후소득보장 효과를 분석하고 있다. 특히, 본 연구는 국민연금 가입자들의 정확한 가입 이력 정보를 제공하는 국민연금 DB 자료를 활용하는 동시에 공식적인 국민연금 장기 재정 전망에 사용되는 국민연금 재정추계모형과 달리 소득계층별로 차등화된 기초율을 적용하여 급여 수준을 전망하는 개인 단위의 미시 모형을 구축하고 있다. 분석 결과는 생애과정의 상당부분이 연금 개혁의 영향에 노출된 최근 출생코호트에서 연금 개혁의 효과가 강하게 나타남을 보여 주고 있는데, 연금 개혁으로 인한 소득계층별 노후소득보장 축소 효과는 분석 지표에 따라 상이한 모습을 보여 준다. 상대적 지표인 소득대체율의 경우 전반적으로 연금 개혁이 저소득층에 미친 부정적 효과가 더욱 강하게 나타나는 반면 절대적 지표인 연금월액의 경우 고소득층의 급여 감소 폭이 더욱 큰 것으로 분석되고 있다. 전통적으로 공적연금이 수행하는 목표로 노후 빈곤 방지와 은퇴 이전의 소비수준 보장 기능이 지적되지만, 1998년과 2007년 개혁 후의 국민연금의 역할은 평균적으로 노후 빈곤 방지에 집중될 것으로 전망되고 있다. 그러나 소득계층별 급여 수준 분석 결과는 저소득층의 경우 국민연금의 노후 빈곤 방지 목표 또한 달성하기 쉽지 않음을 시사하고 있다. 고소득층 또한 연금 개혁 후 국민연금을 통한 노후소득보장 수준이 평균적으로 절대적 빈곤 해소 수준에 불과하다는 점에서 퇴직연금과 같은 사적연금의 역할이 커질 개연성을 높이고 있다.","Using the national pension database, this study analyzes the impacts of the 1998 and 2007 national pension reforms on old-age income security. The data indicate that, compared to the early cohorts, income-level differences in the impacts of the pension reforms were greater for the recent cohorts. While the reduction in pension benefit was greatest for the highest income group, the lowest income group was affected most severely in income replacement rates. Overall, as a result of the pension reforms, the Korean national pension is expected to play mainly the role of alleviation of old-age poverty instead of consumption smoothing. However, the results indicate that preventing old-age poverty also could be difficult, in particular, for the lowest income group. Further, for the highest income group, the retreat of the state from the national pension also has the potential for fostering private pensions, given the mere role of preventing old-age poverty.","국민연금, 연금 개혁, 소득계층, 급여 적정성, Korean national pension, pension reform, income level, pension adequacy",161 ~ 185,http://kiss.kstudy.com/search/detail_page.asp?key=3378891
8,고령자 퇴직이행 지원제도로서 임금피크제도와 점진적 퇴직제도의 비교 연구,이정우 ( Jungwoo Lee ),한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"본 연구는 임금피크제도의 문제점을 파악해 보고, 그 대안으로서 점진적 퇴직제도의 도입 가능성을 살펴보았다. 연구의 결과 현행 임금피크제도의 대표적 문제점으로 임금삭감을 지적해 볼 수 있다. 구체적으로 임금삭감은 노동시장에서 상품으로서 노동력의 상대가격체계(relative price system)를 교란시켜 경쟁의 왜곡문제와 함께 사회적 갈등을 초래할 수 있다는 점이다. 이 경우 고령계층은 임금삭감에 따른 가격경쟁력을 바탕으로 청년들과 일자리의 경쟁관계에 놓이게 될 가능성이 높다. 이러한 현상은 현행 임금피크제도가 국가의 기대와는 달리 세대간 상생모형이 아니라, 오히려 세대간 경쟁과 갈등의 모형이 될 수도 있다는 것을 시사한다. 반면에 점진적 퇴직제도는 고령계층의 근로시간단축을 핵심적 정책수단으로 채택하므로 세대간 일자리의 나눔과 상생효과를 도모할 수 있는 제도적 환경을 갖추고 있다. 다음으로 점진적 퇴직제도에서 근로시간의 단축은 노동공급량을 축소하는 작용을 할 수도 있겠지만, 반대로 건강이나 가족상황 등으로 인해 시간예산의 제약을 받고 있는 고령계층의 조기퇴직을 방지하고 유사한 상황에 있는 인력의 동원을 통해 국내 노동공급량을 확대할 수 있는 장점도 가지고 있다. 마지막으로 점진적 퇴직제도는 다양한 근로시간모형을 개발할 수 있는 제도적 인프라로 활용될 수 있다는 것이다. 이를 통해 고령근로자들은 자신의 선호와 능력에 가장 적합한 근로모형을 선택하여 근로생애주기를 연장할 수 있는 장점도 누릴 수 있다.","This paper examines problems of the wage peak system which is currently being implemented and the possibility of introducing a gradual retirement system as an alternative. Research findings point out wage cuts as the critical problem of the wage peak system. Wage cuts can disrupt the relative price system of labor in the labor market, which could then distort competition and lead to various social conflicts. In particular, the wage peak system could place old employees in situations where they would, based on their price competitiveness derived from reduced salaries, compete with young employees for jobs. It indicates that the wage peak system could prove to be a model for competition and conflict between young and old generations, instead of a win-win model for both young and old as the government expects. As an alternative of the wage peak system, the gradual retirement system has the following advantages. First of all, the gradual retirement system, by reducing working hours for old employees, can provide an institutional environment which would benefit both young and old generations by allowing job opportunities to be shared. Also, while reduced workings hours under the gradual retirement system could have the effect of curtailing the supply of labor, it could prevent early retirement of old employees who are often pressed for time due to health or family issues, and thus increase the labor supply by mobilizing labor force in similar situations. Lastly, the gradual retirement system can serve as institutional infrastructure that can accommodate various working hours models. As a result, with the gradual retirement system, old employees can select a working hours model that suits them best, and thus extend their working life.","임금피크제도, 점진적 퇴직제도, 연공형 임금체계, 보충소득지원제도, 퇴직이행 지원제도, wage peak system, gradual retirement system, seniority-based wage system, income supplementing system, bridge system to retirement",187 ~ 225,http://kiss.kstudy.com/search/detail_page.asp?key=3378892
9,한국 공무원연금 개혁 평가 및 발전방안,"정창률 ( Changlyul Jung ) , 김진수 ( Jin Soo Kim )",한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"본 연구는 2015년 한국 공무원연금 개혁의 내용을 평가하고 시사점을 제시하는 것으로 목적으로 한다. 공무원연금 개혁은 재정개선에 초점을 두었으나, 재정 문제를 급여 하락보다는 기여의 인상을 통해서 해결하려고 시도하여 결과적으로 향후 30년 동안 정부보전금은 상당히 줄어들지만 총재정부담의 하락은 20% 수준에 그칠 것으로 보인다. 공무원연금 재정 문제를 이번 개혁으로 한 번에 해결할 수는 없었어도 다양한 대안들이 심도있게 논의되지 못한 채, 기여율과 급여율 논의로 한정된 것은 이번 개혁의 큰 한계였다. 공무원연금은 재정문제 뿐 아니라 제도 내의 여러 문제를 가지고 있었음에도 불구하고 이번 개혁 가운데, 과소보장과 과잉보장이 혼재되어 있는 문제가 근본적으로 해결되지 못했다. 수개월 동안 사회적 기구를 운영하면서도 사회보장제도로서 가장 기본적인 원칙들에 대한 진지한 논의를 이끌어내지 못하였다. 결국, 이번 공무원연금 개혁은 과거 공무원연금 개혁에 비해서 절차적으로나 내용적으로 진일보되었다고 볼 수 있으나, 여전히 재정측면이나 제도측면에서 많은 문제점에 대한 근본적인 해결책은 제시하지 못한 수준으로 평가될 수 있다.","The paper aims to evaluate the Korean Civil-service Pension Reform in 2015, suggesting its policy implication. Even though the reform focused on financial improvement, the improvement would be partial in the long term because it tried to solve the problem throughout the increase in contribution rather than reduction in benefits. Its limitation on financial problem was not to deal with various alternatives to improve its finance deficits except for contribution rate and benefit level. Although the Civil-service Pension had many institutional problems as well as financial ones, this reform did not fundamentally solve the mix between excessive and insufficient security within a system. Although the Social Compromise Institution had been operated for three months, it exposed the limitation in that it did not even solve the basic principles as a social security system. At last, this reform is regarded as a sort of progress in a procedural way as compared with the past reforms but, it can be evaluated that it did not suggest its fundamental solutions in the financial and institutional perspectives.","공무원연금, 연금개혁, 정부보전금, 개혁평가, Civil-service Pension, pension reform, financial improvement, reform evaluation",227 ~ 252,http://kiss.kstudy.com/search/detail_page.asp?key=3378893
10,이탈리아와 중국의 출퇴근재해 산재보상 제도 분석 -한국에 대한 정책적 시사점-,"정홍주 ( Hongjoo Jung ) , 진춘화 ( Chunhua Chen ) , 박소정 ( C. Sojung Park ) , 빈센조세나토르 ( Vincenzo Senatore )",한국사회보장학회,사회보장연구,31,4,2015,1225-5866,"본 연구의 목적은 일부 선진국의 경험과 더불어 이탈리아와 중국의 출퇴근재해에 관한 산재보험 도입 사례분석을 통하여 한국 제도의 도입을 위한 시사점을 찾고자 하는데 있다. 지난 20여 년 간 국내에서 산재보험 출퇴근제도 도입방안 연구를 통해 우리에게 비교적 잘 알려지고 그간 큰 변화가 없었던 독일, 일본, 미국, 영국, 프랑스 등과 달리, 21세기에 들어와 제도가 도입된 이탈리아와 중국의 사례는 국내에서 제대로 조사되거나 알려질 기회가 거의 없었다. 본 연구를 통해 첫째, 주요국들의 산재보험 기본구조, 출퇴근제도 도입과정과 그 내용에 대해 살펴본 결과 출퇴근재해에 대해서는 대부분 국가에서 매우 제한적으로 산재보험을 적용하는 것을 알 수 있었다. 둘째, 21세기 들어 출퇴근재해를 산재에서 공식 도입한 이탈리아와 중국의 사례 분석을 통하여 한국에서 출퇴근재해에 대해 산재보험에 도입하는 경우 대중교통을 개인용 자동차에 비해 우선적으로 도입하는 한편, 급격성, 외래성, 우연성 기준을 보상결정에 적용하는 방안을 제안하고, 자동차재해의 경우에는 중국의 경우와 같이 피재근로자의 과실비율에 따라 산재보험 또는 자동차보험으로 처리하는 방안을 제언하였다.","Based upon literature review of legal systems, this research aims to propose a policy direction to develop workers’ compensation insurance system with regard to commuting claims. After examining existing literature on Germany, Japan, United Kingdom, France, U.S.A., we review Italia and China which introduced commuting accidents in their workers compensation system early 21st century. The review displays that every country has considered the singular character given to commuting accidents focusing which includes indispensible complement to work and uncontrolability of commuting risk by employers. In particular, preexisitng conditions, moral hazard, compensatory justice, relationship with automobile insurance system are the main concerns in introducing commuting accidents in workers compensation system. As result, Italian system to cover public transportation in principle and Chinese system to indemnify just to the victims with less than 50 percent fault, may be adapted to an emerging system in Korea so that such compensation conditions of injury insurance as abruptness, contingency, and exogenism are put in place of workers compensation insurance, in particular with commuting accidents.","산재보험, 출퇴근재해, 자동차보험, 중국, 이탈리아, Workers` Compensation, Commuting Accidents, Italia, China, case study",253 ~ 277,http://kiss.kstudy.com/search/detail_page.asp?key=3378894
